epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,6146.91,0.95194,1.31406,0.56262,0.951,0.89345,0.81392,0.87913,0.62874,0.89681,0.8156,0.87877,0.60657,1.02172,1.50295,0.58236,1.03813,0.0013928,0.0013928,0.0013928
48,6278,0.95498,1.31852,0.56252,0.95204,0.88835,0.81967,0.88056,0.62539,0.8914,0.82249,0.88056,0.60515,1.0261,1.46085,0.58486,1.03975,0.0013796,0.0013796,0.0013796
49,6408.23,0.9562,1.32181,0.56405,0.95292,0.89022,0.81913,0.8802,0.62073,0.89293,0.82163,0.87973,0.59924,1.04565,1.47596,0.58588,1.04416,0.0013664,0.0013664,0.0013664
50,6537.94,0.95416,1.31556,0.56332,0.95205,0.89402,0.81804,0.88035,0.63146,0.89714,0.8209,0.88029,0.60829,1.01168,1.46352,0.58194,1.03498,0.0013532,0.0013532,0.0013532
51,6669.61,0.94757,1.30358,0.5618,0.94967,0.88894,0.81823,0.88035,0.6292,0.89248,0.8205,0.87996,0.60818,1.01358,1.46021,0.58711,1.0358,0.00134,0.00134,0.00134
52,6799.37,0.95327,1.31521,0.56534,0.95283,0.89068,0.81907,0.88188,0.63339,0.89318,0.82213,0.88204,0.61432,0.99941,1.43935,0.5902,1.02723,0.0013268,0.0013268,0.0013268
53,6931.03,0.94315,1.2937,0.55454,0.94769,0.89424,0.81814,0.88175,0.62175,0.8978,0.81965,0.88093,0.59438,1.0454,1.51336,0.58115,1.04427,0.0013136,0.0013136,0.0013136
54,7061.07,0.95275,1.31548,0.56195,0.95062,0.88883,0.81639,0.87963,0.62256,0.89303,0.81825,0.87981,0.60076,1.03171,1.46513,0.59383,1.03856,0.0013004,0.0013004,0.0013004
55,7194.16,0.94501,1.30651,0.5595,0.9467,0.88537,0.81936,0.88037,0.63242,0.88715,0.82337,0.8809,0.61038,1.00139,1.44863,0.59164,1.02708,0.0012872,0.0012872,0.0012872
56,7324.44,0.94738,1.30505,0.55926,0.94884,0.89349,0.82357,0.88387,0.63715,0.89635,0.82738,0.88428,0.615,0.9967,1.4528,0.57048,1.02587,0.001274,0.001274,0.001274
57,7455,0.94345,1.29741,0.55596,0.94752,0.88748,0.81745,0.87921,0.62161,0.89098,0.82162,0.87976,0.59929,1.03725,1.49619,0.5915,1.04108,0.0012608,0.0012608,0.0012608
58,7585.08,0.93874,1.28921,0.55185,0.94649,0.89375,0.8163,0.88183,0.62097,0.89719,0.81875,0.88075,0.60138,1.04016,1.46833,0.58449,1.04165,0.0012476,0.0012476,0.0012476
59,7716,0.9443,1.30436,0.55746,0.9471,0.8891,0.819,0.88151,0.6293,0.89341,0.82037,0.88047,0.6052,1.01593,1.46507,0.58339,1.03259,0.0012344,0.0012344,0.0012344
60,7845.61,0.94265,1.29695,0.55484,0.94801,0.89709,0.81922,0.88299,0.63718,0.89956,0.8226,0.8829,0.61454,0.99492,1.43174,0.56604,1.02532,0.0012212,0.0012212,0.0012212
61,7975.92,0.93583,1.28888,0.54925,0.94656,0.89338,0.82638,0.88593,0.62321,0.89725,0.82884,0.88522,0.60144,1.04812,1.47154,0.57218,1.04596,0.001208,0.001208,0.001208
62,8106.55,0.94044,1.29688,0.54985,0.94685,0.88786,0.82391,0.88428,0.62292,0.89104,0.82784,0.88377,0.59985,1.0433,1.47299,0.58122,1.04224,0.0011948,0.0011948,0.0011948
63,8238.2,0.93649,1.28582,0.54984,0.94595,0.89128,0.82085,0.88191,0.63193,0.89402,0.82395,0.88146,0.60979,1.00544,1.44113,0.58142,1.02804,0.0011816,0.0011816,0.0011816
