epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,2618.3,1.48891,0.73683,1.13476,0.82024,0.70453,0.79595,0.41087,1.69366,0.94392,1.33284,0.001208,0.001208,0.001208
62,2660.37,1.48379,0.74052,1.13173,0.81448,0.7319,0.81464,0.42745,1.65753,0.92146,1.30255,0.0011948,0.0011948,0.0011948
63,2702.25,1.47783,0.73381,1.13062,0.82486,0.72735,0.81367,0.42467,1.6541,0.91662,1.30652,0.0011816,0.0011816,0.0011816
64,2744.28,1.48858,0.74117,1.13435,0.83527,0.71118,0.8034,0.41881,1.65991,0.93296,1.3136,0.0011684,0.0011684,0.0011684
65,2786.14,1.47878,0.73439,1.13339,0.77573,0.60847,0.69679,0.34083,1.83591,1.13404,1.40717,0.0011552,0.0011552,0.0011552
66,2827.74,1.48022,0.73136,1.1307,0.85267,0.74584,0.83354,0.43361,1.66841,0.86709,1.3218,0.001142,0.001142,0.001142
67,2869.72,1.48005,0.73404,1.13259,0.84586,0.75687,0.84194,0.44186,1.63687,0.85751,1.30122,0.0011288,0.0011288,0.0011288
68,2911.35,1.48184,0.73239,1.12974,0.8721,0.76232,0.8498,0.44846,1.63369,0.8213,1.29927,0.0011156,0.0011156,0.0011156
69,2953.08,1.48947,0.74078,1.13496,0.84758,0.72418,0.8176,0.42946,1.65907,0.8843,1.30579,0.0011024,0.0011024,0.0011024
70,2994.69,1.47541,0.72831,1.12742,0.86191,0.76034,0.8479,0.44746,1.62182,0.86112,1.28212,0.0010892,0.0010892,0.0010892
71,3036.26,1.47972,0.73111,1.12919,0.88037,0.78214,0.8657,0.46712,1.59277,0.79139,1.2746,0.001076,0.001076,0.001076
72,3077.99,1.48602,0.73467,1.13237,0.8532,0.75619,0.8416,0.44807,1.63095,0.84896,1.28624,0.0010628,0.0010628,0.0010628
73,3119.34,1.47385,0.73002,1.12856,0.87236,0.76568,0.85474,0.45843,1.61159,0.81522,1.28014,0.0010496,0.0010496,0.0010496
74,3161.25,1.47465,0.72959,1.12887,0.85487,0.76626,0.84832,0.45323,1.61203,0.8355,1.28497,0.0010364,0.0010364,0.0010364
75,3202.72,1.47695,0.73215,1.13167,0.86852,0.76979,0.85598,0.45352,1.62179,0.81243,1.28776,0.0010232,0.0010232,0.0010232
76,3244.54,1.47301,0.72267,1.12828,0.8547,0.74261,0.83156,0.43276,1.65622,0.86406,1.29628,0.00101,0.00101,0.00101
77,3286.49,1.47078,0.72209,1.12974,0.8354,0.73123,0.82107,0.43288,1.64228,0.88997,1.29326,0.0009968,0.0009968,0.0009968
78,3328.29,1.46692,0.71546,1.12377,0.85475,0.76034,0.84492,0.45272,1.60865,0.83342,1.27711,0.0009836,0.0009836,0.0009836
79,3370.18,1.4639,0.71758,1.12498,0.87691,0.77788,0.86586,0.46781,1.5949,0.79367,1.27458,0.0009704,0.0009704,0.0009704
80,3411.83,1.46533,0.71942,1.12205,0.8788,0.77237,0.85687,0.45508,1.62312,0.78926,1.28614,0.0009572,0.0009572,0.0009572
81,3453.38,1.46964,0.7203,1.12814,0.85535,0.75071,0.83676,0.4434,1.63203,0.84033,1.29216,0.000944,0.000944,0.000944
82,3494.89,1.4676,0.71633,1.1272,0.8775,0.77957,0.86312,0.45706,1.62373,0.79175,1.28525,0.0009308,0.0009308,0.0009308
83,3536.63,1.46477,0.71598,1.12281,0.85662,0.75175,0.83978,0.44504,1.63228,0.83389,1.29607,0.0009176,0.0009176,0.0009176
84,3578.34,1.4663,0.71819,1.12467,0.88016,0.78224,0.86742,0.46079,1.59909,0.80395,1.27541,0.0009044,0.0009044,0.0009044
85,3620.41,1.453,0.70734,1.12004,0.80464,0.7055,0.78959,0.40637,1.70974,0.942,1.33538,0.0008912,0.0008912,0.0008912
86,3661.96,1.46024,0.71256,1.12247,0.85603,0.74888,0.83547,0.44073,1.64197,0.84632,1.2845,0.000878,0.000878,0.000878
