epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,4040.65,1.44018,0.68696,1.11352,0.91204,0.84159,0.91316,0.50594,1.54861,0.67724,1.25836,0.000746,0.000746,0.000746
97,4082.33,1.43832,0.68432,1.11218,0.91232,0.839,0.91029,0.49496,1.58402,0.69356,1.2791,0.0007328,0.0007328,0.0007328
98,4123.91,1.44226,0.69009,1.1227,0.91035,0.83717,0.90954,0.50299,1.5607,0.68311,1.26508,0.0007196,0.0007196,0.0007196
99,4166.02,1.43686,0.68475,1.11396,0.9109,0.84206,0.91198,0.50271,1.55588,0.68452,1.26011,0.0007064,0.0007064,0.0007064
100,4207.71,1.43504,0.67951,1.11459,0.91306,0.84141,0.91191,0.50464,1.55879,0.67702,1.26785,0.0006932,0.0006932,0.0006932
101,4249.67,1.43431,0.68068,1.11433,0.91507,0.83772,0.91267,0.50294,1.565,0.68171,1.27173,0.00068,0.00068,0.00068
102,4291.45,1.43651,0.6817,1.11437,0.91097,0.83871,0.91,0.49937,1.5729,0.68641,1.27742,0.0006668,0.0006668,0.0006668
103,4333.16,1.43666,0.68301,1.11705,0.91118,0.83667,0.91001,0.50489,1.5558,0.6804,1.26602,0.0006536,0.0006536,0.0006536
104,4375.14,1.43234,0.68347,1.11365,0.90846,0.83943,0.91028,0.49385,1.59036,0.69215,1.28011,0.0006404,0.0006404,0.0006404
105,4417.03,1.4438,0.68496,1.1191,0.91006,0.83581,0.90893,0.50337,1.54763,0.69204,1.2628,0.0006272,0.0006272,0.0006272
106,4459.01,1.43434,0.67465,1.11228,0.90783,0.84127,0.90979,0.48855,1.60928,0.68894,1.29295,0.000614,0.000614,0.000614
107,4501.05,1.42712,0.67623,1.11242,0.91005,0.83897,0.91014,0.50122,1.55871,0.67934,1.2727,0.0006008,0.0006008,0.0006008
108,4543.13,1.43385,0.67664,1.11337,0.90942,0.84466,0.91277,0.50162,1.5666,0.67801,1.27266,0.0005876,0.0005876,0.0005876
109,4584.9,1.42748,0.67482,1.11387,0.91202,0.84229,0.91231,0.50333,1.56517,0.67285,1.27627,0.0005744,0.0005744,0.0005744
110,4627,1.42145,0.67694,1.10844,0.91227,0.8406,0.91125,0.50282,1.55743,0.68233,1.2655,0.0005612,0.0005612,0.0005612
111,4669.15,1.43025,0.67603,1.10974,0.91009,0.84382,0.91222,0.50313,1.56326,0.67604,1.27211,0.000548,0.000548,0.000548
112,4711.23,1.42652,0.67408,1.10899,0.90638,0.84293,0.91025,0.48551,1.61559,0.69134,1.29676,0.0005348,0.0005348,0.0005348
113,4753.2,1.423,0.67168,1.10946,0.9048,0.84053,0.90902,0.48568,1.60635,0.69016,1.29083,0.0005216,0.0005216,0.0005216
114,4795.1,1.42655,0.67119,1.10863,0.90477,0.84067,0.90954,0.48659,1.61327,0.68649,1.29096,0.0005084,0.0005084,0.0005084
115,4837.35,1.42542,0.67113,1.10853,0.90593,0.83904,0.909,0.48722,1.6087,0.68383,1.29394,0.0004952,0.0004952,0.0004952
116,4878.95,1.42108,0.66768,1.10785,0.90658,0.83925,0.91012,0.49166,1.59871,0.68535,1.28585,0.000482,0.000482,0.000482
117,4921.38,1.4245,0.67112,1.10661,0.90913,0.84141,0.91104,0.49535,1.58521,0.68443,1.27785,0.0004688,0.0004688,0.0004688
118,4963.35,1.42078,0.66667,1.10831,0.90991,0.8424,0.911,0.50326,1.55911,0.6753,1.26965,0.0004556,0.0004556,0.0004556
119,5005.44,1.42439,0.66961,1.10776,0.90882,0.84171,0.91031,0.49759,1.57502,0.68189,1.27561,0.0004424,0.0004424,0.0004424
120,5047.43,1.42178,0.66822,1.10652,0.90682,0.84118,0.91068,0.49497,1.58719,0.68315,1.27814,0.0004292,0.0004292,0.0004292
121,5089.35,1.41731,0.66529,1.10584,0.90701,0.84283,0.91112,0.49516,1.586,0.68172,1.27887,0.000416,0.000416,0.000416
122,5131.18,1.41907,0.66328,1.10668,0.90891,0.84218,0.91109,0.49474,1.58877,0.68113,1.28037,0.0004028,0.0004028,0.0004028
123,5173.27,1.42312,0.66721,1.11119,0.9088,0.84062,0.91085,0.49446,1.58805,0.6833,1.28101,0.0003896,0.0003896,0.0003896
124,5215,1.41414,0.66408,1.10632,0.9071,0.83905,0.90935,0.49344,1.59054,0.68703,1.28085,0.0003764,0.0003764,0.0003764
125,5257.03,1.40798,0.6578,1.10513,0.90884,0.83866,0.90956,0.49282,1.59359,0.68619,1.28333,0.0003632,0.0003632,0.0003632
126,5299.01,1.41465,0.65944,1.104,0.90904,0.83954,0.9105,0.49468,1.58969,0.6806,1.28187,0.00035,0.00035,0.00035
127,5341.11,1.41121,0.66021,1.10245,0.91044,0.84154,0.91186,0.49546,1.58911,0.67662,1.28114,0.0003368,0.0003368,0.0003368
128,5383.43,1.41845,0.66392,1.10532,0.90926,0.84028,0.91044,0.48909,1.60553,0.6845,1.28846,0.0003236,0.0003236,0.0003236
129,5425.58,1.41808,0.65945,1.10518,0.9099,0.84298,0.91115,0.48751,1.61336,0.68027,1.29452,0.0003104,0.0003104,0.0003104
130,5467.61,1.41784,0.66198,1.10528,0.90686,0.84371,0.91042,0.48708,1.61252,0.68111,1.29711,0.0002972,0.0002972,0.0002972
131,5509.57,1.41332,0.66083,1.10807,0.90671,0.8416,0.90969,0.49152,1.59634,0.68166,1.28656,0.000284,0.000284,0.000284
132,5551.75,1.41075,0.65818,1.10437,0.90946,0.8424,0.91007,0.49226,1.5968,0.68252,1.28808,0.0002708,0.0002708,0.0002708
133,5594.02,1.41365,0.66064,1.1079,0.90892,0.84346,0.90987,0.48879,1.60804,0.68474,1.29476,0.0002576,0.0002576,0.0002576
134,5635.91,1.40905,0.65881,1.10658,0.90945,0.84303,0.91069,0.49278,1.59653,0.68251,1.28695,0.0002444,0.0002444,0.0002444
135,5678.21,1.41126,0.65904,1.10376,0.90876,0.84366,0.91083,0.49554,1.58846,0.67989,1.28179,0.0002312,0.0002312,0.0002312
136,5720.29,1.4104,0.65568,1.1045,0.90772,0.84265,0.90992,0.49432,1.59431,0.67833,1.28622,0.000218,0.000218,0.000218
137,5762.38,1.40207,0.65384,1.10068,0.90941,0.84319,0.91101,0.4971,1.5833,0.67651,1.28076,0.0002048,0.0002048,0.0002048
138,5804.32,1.40762,0.65235,1.10586,0.90924,0.84328,0.91108,0.49739,1.5835,0.67579,1.27823,0.0001916,0.0001916,0.0001916
139,5846.44,1.41314,0.65776,1.1037,0.90884,0.84398,0.91098,0.49751,1.58249,0.67577,1.27811,0.0001784,0.0001784,0.0001784
140,5888.45,1.397,0.64814,1.10022,0.9089,0.8429,0.91031,0.49442,1.59631,0.67671,1.28557,0.0001652,0.0001652,0.0001652
141,5929.29,1.40293,0.64324,1.12538,0.91295,0.84003,0.91119,0.49799,1.58668,0.67165,1.28127,0.000152,0.000152,0.000152
142,5968.2,1.39255,0.63629,1.11685,0.90979,0.83963,0.90947,0.49574,1.59098,0.67269,1.28406,0.0001388,0.0001388,0.0001388
143,6007.07,1.38608,0.63037,1.11781,0.90941,0.84005,0.90904,0.4962,1.59095,0.6729,1.2842,0.0001256,0.0001256,0.0001256
144,6045.96,1.38676,0.63171,1.12014,0.90972,0.84085,0.90962,0.49496,1.59293,0.67255,1.28643,0.0001124,0.0001124,0.0001124
145,6084.83,1.38299,0.62925,1.12281,0.90886,0.84186,0.90936,0.49341,1.59888,0.67322,1.28889,9.92e-05,9.92e-05,9.92e-05
146,6123.72,1.38147,0.6283,1.11912,0.90858,0.84258,0.9094,0.49294,1.59883,0.67368,1.28807,8.6e-05,8.6e-05,8.6e-05
147,6162.58,1.38242,0.6295,1.11699,0.91063,0.84231,0.91043,0.49671,1.59186,0.67112,1.28402,7.28e-05,7.28e-05,7.28e-05
148,6201.52,1.3794,0.62578,1.11698,0.91059,0.8417,0.91021,0.49663,1.59092,0.67123,1.28395,5.96e-05,5.96e-05,5.96e-05
149,6240.27,1.3792,0.62579,1.12013,0.91065,0.8429,0.91105,0.49753,1.58726,0.66941,1.28234,4.64e-05,4.64e-05,4.64e-05
150,6279.18,1.37549,0.62341,1.11343,0.91206,0.84214,0.91136,0.49739,1.58752,0.66994,1.2827,3.32e-05,3.32e-05,3.32e-05
