epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,2643.25,1.47123,0.70763,1.13675,0.91533,0.83028,0.90775,0.49209,1.57452,0.7055,1.30161,0.0011024,0.0011024,0.0011024
70,2681.31,1.45862,0.69684,1.13276,0.91057,0.83298,0.90663,0.49376,1.55535,0.73125,1.29037,0.0010892,0.0010892,0.0010892
71,2719.18,1.46384,0.70283,1.13214,0.91079,0.83756,0.90919,0.48854,1.57652,0.72104,1.30098,0.001076,0.001076,0.001076
72,2757.15,1.4688,0.70038,1.13671,0.90703,0.83451,0.90774,0.49124,1.58154,0.71926,1.30355,0.0010628,0.0010628,0.0010628
73,2794.91,1.45955,0.7011,1.13156,0.90672,0.83625,0.90855,0.49059,1.57528,0.70628,1.29902,0.0010496,0.0010496,0.0010496
74,2832.81,1.45677,0.69583,1.13161,0.91194,0.83446,0.90903,0.48709,1.58366,0.71853,1.29593,0.0010364,0.0010364,0.0010364
75,2870.57,1.45946,0.69769,1.13342,0.91105,0.83952,0.91026,0.49389,1.57376,0.69401,1.29922,0.0010232,0.0010232,0.0010232
76,2908.65,1.45705,0.69046,1.13263,0.91067,0.83837,0.90964,0.49214,1.58089,0.69611,1.30399,0.00101,0.00101,0.00101
77,2946.33,1.45709,0.68958,1.13395,0.91303,0.8371,0.91038,0.49995,1.5549,0.68571,1.28725,0.0009968,0.0009968,0.0009968
78,2984.34,1.44998,0.6828,1.12719,0.90954,0.83774,0.908,0.49652,1.56104,0.69419,1.29159,0.0009836,0.0009836,0.0009836
79,3022.56,1.44813,0.68509,1.12847,0.90689,0.83264,0.90584,0.4838,1.60759,0.71098,1.31566,0.0009704,0.0009704,0.0009704
80,3060.41,1.4491,0.68411,1.12594,0.91799,0.83918,0.91221,0.50752,1.53777,0.67318,1.28555,0.0009572,0.0009572,0.0009572
81,3098.45,1.45287,0.68705,1.13129,0.90885,0.83525,0.90863,0.49512,1.56321,0.70639,1.29172,0.000944,0.000944,0.000944
82,3136.39,1.45256,0.68299,1.13056,0.90728,0.83913,0.91018,0.50344,1.5437,0.69576,1.28923,0.0009308,0.0009308,0.0009308
83,3174.46,1.44759,0.6838,1.12496,0.90994,0.84134,0.91158,0.50657,1.52876,0.68808,1.27484,0.0009176,0.0009176,0.0009176
84,3212.51,1.45222,0.68515,1.1287,0.91474,0.84026,0.91362,0.50282,1.54945,0.68218,1.28735,0.0009044,0.0009044,0.0009044
