epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,3052.7,1.47385,0.73002,1.12856,0.90454,0.80902,0.88796,0.46595,1.59735,0.77657,1.27479,0.0010496,0.0010496,0.0010496
74,3094.49,1.47465,0.72959,1.12887,0.9011,0.79866,0.88181,0.46322,1.58284,0.81337,1.27648,0.0010364,0.0010364,0.0010364
75,3136.19,1.47695,0.73215,1.13167,0.90216,0.78605,0.87411,0.45668,1.59852,0.82978,1.28308,0.0010232,0.0010232,0.0010232
76,3177.67,1.47301,0.72267,1.12828,0.90226,0.80764,0.88511,0.47227,1.56218,0.79654,1.26284,0.00101,0.00101,0.00101
77,3219.19,1.47078,0.72209,1.12974,0.89583,0.79179,0.87574,0.46624,1.55609,0.83327,1.26743,0.0009968,0.0009968,0.0009968
78,3261.26,1.46692,0.71546,1.12377,0.90703,0.79741,0.88532,0.47728,1.54087,0.79528,1.25794,0.0009836,0.0009836,0.0009836
79,3302.98,1.4639,0.71758,1.12498,0.90619,0.80544,0.8875,0.47626,1.55707,0.79484,1.26745,0.0009704,0.0009704,0.0009704
80,3344.13,1.46533,0.71942,1.12205,0.91012,0.8152,0.89156,0.46754,1.60325,0.76185,1.28238,0.0009572,0.0009572,0.0009572
81,3385.76,1.46964,0.7203,1.12814,0.90415,0.81268,0.88718,0.46947,1.57752,0.77645,1.2717,0.000944,0.000944,0.000944
82,3427.36,1.4676,0.71633,1.1272,0.89941,0.80669,0.88226,0.44785,1.65324,0.80084,1.30642,0.0009308,0.0009308,0.0009308
83,3469.09,1.46477,0.71598,1.12281,0.91045,0.82648,0.89872,0.48173,1.56881,0.73327,1.26532,0.0009176,0.0009176,0.0009176
84,3510.92,1.4663,0.71819,1.12467,0.90369,0.81127,0.88995,0.47719,1.54155,0.78881,1.26123,0.0009044,0.0009044,0.0009044
85,3552.68,1.453,0.70734,1.12004,0.90473,0.8159,0.89059,0.45781,1.63273,0.77717,1.29813,0.0008912,0.0008912,0.0008912
86,3594.27,1.46024,0.71256,1.12247,0.9038,0.80961,0.88715,0.47237,1.56837,0.78232,1.26076,0.000878,0.000878,0.000878
87,3636.52,1.45984,0.71096,1.122,0.90664,0.81446,0.89051,0.47221,1.57361,0.76605,1.26957,0.0008648,0.0008648,0.0008648
88,3677.93,1.45548,0.70887,1.12043,0.90896,0.82222,0.89713,0.47761,1.58603,0.73641,1.26625,0.0008516,0.0008516,0.0008516
89,3719.8,1.45756,0.71253,1.12115,0.89804,0.79529,0.87999,0.46208,1.58661,0.82914,1.28069,0.0008384,0.0008384,0.0008384
90,3761.16,1.45978,0.70598,1.1212,0.90933,0.83153,0.90141,0.48489,1.5765,0.71335,1.26838,0.0008252,0.0008252,0.0008252
91,3802.58,1.46709,0.71364,1.12549,0.90769,0.81757,0.8929,0.47435,1.58317,0.75251,1.26737,0.000812,0.000812,0.000812
92,3844.17,1.45447,0.70456,1.11952,0.9082,0.81906,0.89418,0.47389,1.5978,0.73444,1.2786,0.0007988,0.0007988,0.0007988
93,3885.56,1.45306,0.70203,1.1196,0.90942,0.8239,0.89594,0.47034,1.62684,0.73545,1.28517,0.0007856,0.0007856,0.0007856
94,3927.26,1.45692,0.70417,1.12057,0.90542,0.8136,0.89072,0.46724,1.59954,0.77449,1.28094,0.0007724,0.0007724,0.0007724
95,3968.74,1.45549,0.70497,1.11862,0.90669,0.82082,0.89392,0.47361,1.58363,0.7486,1.26902,0.0007592,0.0007592,0.0007592
96,4010.53,1.45006,0.70157,1.11731,0.90762,0.82132,0.89546,0.47273,1.60348,0.74804,1.2762,0.000746,0.000746,0.000746
97,4051.86,1.45024,0.69992,1.11709,0.9085,0.82441,0.8967,0.47222,1.60994,0.7277,1.27839,0.0007328,0.0007328,0.0007328
